breed_name,species,alt_names,origin_country,height,weight,life_span,personality_traits,description,adaptability,affection_level,child_friendly,dog_friendly,energy_level,grooming,health_issues,intelligence,shedding_level,social_needs,stranger_friendly,vocalisation,hypoallergenic,wikipedia_url,senior_friendly,urban_friendly,family_compatibility_score,social_environment_score,child_friendly_norm,stranger_friendly_norm,dog_friendly_norm,energy_level_norm,vocalisation_norm,affection_level_norm,intelligence_norm,adaptability_norm,senior_friendly_norm,urban_friendly_norm,senior_friendly_label,urban_friendly_label,family_compatibility_label,social_environment_label,breed_cluster,recommendation,recommendation_confidence,multi_cluster_membership,persona_match,persona_explainability_text,heat_tolerance,cold_tolerance,humidity_tolerance,all_weather_adaptability,recommended_climate_types,dietary_sensitivity_level,common_food_allergies,digestion_robustness,obesity_prone,recommended_diet_type,climate_data_source,diet_data_source,guardian_note,Avg monthly_food_cost_inr,Avg exercise_minutes_daily,Avg grooming_hours_monthly,Avg social_interaction_hours_daily,Avg total_daily_time_hours,Avg professional_grooming_cost_monthly,Avg vet_cost_monthly_avg,Avg total_monthly_cost_inr
Neapolitan Mastiff,Dog,,Italy,60-75 cm,50-70 kg,7-9 years,"Dominant, Obedient, Fearless, Stubborn, Protective",A large Italian mastiff with distinctive wrinkled face.,1.8,5,4,2,3,3,2,3,3,3.67,1,1,0,https://en.wikipedia.org/wiki/Neapolitan_Mastiff,4.2,2.9,69,46.4,0.75,0,0.25,0.5,0,1,0.5,0.2,0.783783784,0.346153846,Excellent,Moderate,Good,Moderate,Balanced / General Companion,Ideal for seniors or calm households; Good as a guard or alert dog,92,Guard / Watch Dog,Senior or retired owner; Security-conscious owner,"Lower energy needs, gentle behavior, and manageable vocalisation suit quieter households and senior owners. Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.",3,3,3,60,Temperate,2,Minimal (Working breeds generally robust),3,Medium,"High-protein, Large-breed formula",archetype,archetype,"?? Giant breed considerations: Shorter lifespan (7-10 years typical), high food costs, requires controlled growth diet as puppy to prevent joint issues, prone to bloat (feed multiple small meals), needs large living space. ?? Guardian/protective breed: Requires experienced owner, early socialization, and consistent training. Can be territorial and protective of family. Liability insurance recommended. Not suitable for first-time dog owners.",14200,45,5.5,6,7.5,1400,2000,19400
Newfoundland,Dog,Newf,Canada,66-71 cm,45-70 kg,9-10 years,"Sweet-Tempered, Gentle, Trainable, Docile, Devoted","A giant Canadian working dog, excellent water rescue dog.",2.8,5,5,4,3,2,1,4,5,4.67,4,4,0,https://en.wikipedia.org/wiki/Newfoundland_(dog),3.3,3.3,88,70.4,1,0.75,0.75,0.5,0.75,1,0.75,0.45,0.540540541,0.5,Good,Good,Excellent,Good,Family Dog,Best for families with children,88,Family Dog,Family with young children,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children.",3,3,3,60,Temperate,2,"Soy, Corn",3,High,"Large-breed formula, Joint support",archetype,archetype,"?? Giant breed considerations: Shorter lifespan (7-10 years typical), high food costs, requires controlled growth diet as puppy to prevent joint issues, prone to bloat (feed multiple small meals), needs large living space. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",13600,45,11,6,7.5,3500,3000,22100
Norfolk Terrier,Dog,,United Kingdom,23-25 cm,5-6 kg,12-16 years,"Self-confident, Fearless, Spirited, Companionable, Happy",A small English terrier with drop ears.,4,5,4,5,4,4,5,4,1,4.67,4,3,0,https://en.wikipedia.org/wiki/Norfolk_Terrier,3.2,3.4,77,81,0.75,0.75,1,0.75,0.5,1,0.75,0.75,0.513513514,0.538461538,Good,Good,Good,Excellent,Family Dog,Great for active owners,80,"Family Dog, Active / Outdoor Dog",Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,2,Minimal (Terriers generally hardy),3,Medium,"Balanced, Active formula",archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",1300,75,2.5,6,8,200,500,2200
Northern Inuit Dog,Dog,,United Kingdom,58-81 cm,25-50 kg,12-14 years,"Friendly, Loyal, Intelligent, Calm, Stubborn",A British breed developed to resemble wolves.,2.4,5,4,3,5,2,4,4,5,4,5,5,0,https://en.wikipedia.org/wiki/Northern_Inuit_Dog,2.2,3,77,68.2,0.75,1,0.5,1,1,1,0.75,0.35,0.243243243,0.384615385,Moderate,Moderate,Good,Good,Family Dog,Great for active owners,100,"Family Dog, Active / Outdoor Dog",Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,3,Minimal (Generally robust),3,Low,Balanced,archetype,archetype,Needs large open space; not ideal for small flats.,8900,120,11,6,9,2700,800,13600
Norwegian Buhund,Dog,,Norway,41-47 cm,12-18 kg,12-15 years,"Energetic, Courageous, Intelligent, Self-confident, Alert",A Norwegian spitz-type herding dog.,3.6,5,5,3,4,2,4,3,3,4.33,3,4,0,https://en.wikipedia.org/wiki/Norwegian_Buhund,2.9,2.6,80,58.8,1,0.5,0.5,0.75,0.75,1,0.5,0.65,0.432432432,0.230769231,Moderate,Moderate,Excellent,Moderate,Family Dog,Best for families with children; Great for active owners,80,"Family Dog, Active / Outdoor Dog",Family with young children,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children.",3,3,3,60,Temperate,3,Minimal (Generally robust),3,Medium,Balanced,archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",3500,75,8.5,6,8,1800,800,6700
Norwegian Elkhound,Dog,,Norway,49-52 cm,20-25 kg,12-15 years,"Bold, Playful, Loyal, Dignified, Fearless",A Norwegian spitz-type hunting dog for elk.,3.8,5,4,4,5,3,4,4,5,4.33,4,4,0,https://en.wikipedia.org/wiki/Norwegian_Elkhound,2.5,2.9,73,73.4,0.75,0.75,0.75,1,0.75,1,0.75,0.7,0.324324324,0.346153846,Moderate,Moderate,Good,Good,Active / Outdoor Dog,Great for active owners,100,"Family Dog, Active / Outdoor Dog",Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,1,Minimal (Hardy northern breeds),3,Medium,"High-protein, High-fat",archetype,archetype,Needs large open space; not ideal for small flats.,5300,120,7,6,8.5,800,800,7600
Norwegian Lundehund,Dog,,Norway,30-38 cm,6-9 kg,12-14 years,"Alert, Energetic, Loyal, Protective, Vocal",A rare Norwegian dog bred for puffin hunting.,2.4,5,5,5,4,4,3,5,5,5,5,1,0,https://en.wikipedia.org/wiki/Norwegian_Lundehund,3.8,4.4,88,92.2,1,1,1,0.75,0,1,1,0.35,0.675675676,0.923076923,Good,Excellent,Excellent,Excellent,Family Dog,Best for families with children; Well-suited for city living; Great for active owners,85.3,"Family Dog, City / Apartment Dog, Active / Outdoor Dog",Family with young children; Active outdoor enthusiast,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children. High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,2,Minimal (Generally robust),3,Medium,Balanced,archetype,archetype,"?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",1800,75,4,6,8,200,1200,3500
Norwich Terrier,Dog,,United Kingdom,24-25 cm,5-6 kg,12-16 years,"Hardy, Affectionate, Energetic, Sensitive, Intelligent",A small English terrier with prick ears.,3.6,5,5,5,5,2,4,4,2,5,5,4,0,https://en.wikipedia.org/wiki/Norwich_Terrier,2.5,3.2,84,82.8,1,1,1,1,0.75,1,0.75,0.65,0.324324324,0.461538462,Moderate,Good,Excellent,Excellent,Family Dog,Best for families with children; Great for active owners,92,"Family Dog, Active / Outdoor Dog",Family with young children; Active outdoor enthusiast,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children. High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,2,Minimal (Terriers generally hardy),3,Medium,"Balanced, Active formula",archetype,archetype,Needs large open space; not ideal for small flats.,1300,120,7.5,6,9,1400,800,3800
Nova Scotia Duck Tolling Retriever,Dog,Toller,Canada,43-53 cm,17-23 kg,12-14 years,"Outgoing, Alert, Patient, Intelligent, Loving",A Canadian retriever used for tolling waterfowl.,3.4,5,5,4,5,5,4,5,3,4.67,4,4,0,https://en.wikipedia.org/wiki/Nova_Scotia_Duck_Tolling_Retriever,2.5,3.2,80,76.2,1,0.75,0.75,1,0.75,1,1,0.6,0.324324324,0.461538462,Moderate,Good,Excellent,Good,Family Dog,Best for families with children; Great for active owners,90,"Family Dog, Active / Outdoor Dog",Family with young children; Active outdoor enthusiast,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children. High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,1,Minimal (Sporting breeds generally robust),3,Medium,"High-protein, Performance diet",archetype,archetype,Needs large open space; not ideal for small flats.,4700,120,1.5,6,8.5,0,800,6000
Old English Sheepdog,Dog,Bobtail,United Kingdom,51-61 cm,27-45 kg,10-12 years,"Sociable, Bubbly, Intelligent, Adaptable, Loving",A large British herding dog with shaggy gray and white coat.,3.8,5,4,4,4,1,4,4,1,4.33,4,1,0,https://en.wikipedia.org/wiki/Old_English_Sheepdog,3.8,3.8,77,82.4,0.75,0.75,0.75,0.75,0,1,0.75,0.7,0.675675676,0.692307692,Good,Good,Good,Excellent,Family Dog,Great for active owners,80,"Family Dog, City / Apartment Dog, Active / Outdoor Dog",Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,2,Minimal (Active herding breeds),3,Low,"High-protein, Performance diet",archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",8500,75,9.5,6,8,6600,800,17500
Otterhound,Dog,,United Kingdom,61-69 cm,36-52 kg,10-13 years,"Amiable, Even-tempered, Boisterous, Friendly",A large British scenthound bred for otter hunting.,3.2,5,5,5,5,2,4,4,4,5,4,2,0,https://en.wikipedia.org/wiki/Otterhound,3.1,3.4,80,81.6,1,0.75,1,1,0.25,1,0.75,0.55,0.486486486,0.538461538,Moderate,Good,Excellent,Excellent,Family Dog,Best for families with children; Great for active owners,90,"Family Dog, Active / Outdoor Dog",Family with young children; Active outdoor enthusiast,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children. High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,3,"Soy, corn",3,Medium,"Large-breed formula, Joint support, Controlled growth",archetype,archetype,Needs large open space; not ideal for small flats.,10400,120,10,6,9,3000,800,15600
Pandikona,Dog,,India,45-66 cm,30-40 kg,10-12 years,"Loyal, Protective, Intelligent, Alert, Hardy","The Pandikona is an indigenous dog breed from Andhra Pradesh, used for guarding and hunting. They are hardy, intelligent, and excellent at hunting wild boar, snakes, and rodents. Very loyal to their families.",3,4,3,3,4,1,1,4,2,3,2,3,0,https://en.wikipedia.org/wiki/Pandikona,2.9,2.8,57,58,0.5,0.25,0.5,0.75,0.5,0.75,0.75,0.5,0.432432432,0.307692308,Moderate,Moderate,Moderate,Moderate,Balanced / General Companion,Great for active owners; Good as a guard or alert dog,80,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,2,Minimal (Generally robust),3,Medium,Balanced,archetype,archetype,"?? Rare Indian sighthound/hunting breed: From Andhra Pradesh. High prey drive, strong chase instinct - not safe off-leash in unfenced areas. Athletic build requires regular exercise (1-2 hours daily). Generally healthy, adapted to hot climate. Independent nature - can be stubborn in training. Limited veterinary data. Better suited to rural environments. Not ideal for apartments.",8300,75,11,4.5,6.5,6500,3000,19600
Papillon,Dog,Butterfly Dog,France,20-28 cm,3-4 kg,14-16 years,"Happy, Alert, Friendly, Energetic, Intelligent",A small spaniel with distinctive butterfly-like ears.,3.2,5,3,4,4,3,3,4,2,4,5,2,0,https://en.wikipedia.org/wiki/Papillon_(dog),3.5,3.9,74,83.6,0.5,1,0.75,0.75,0.25,1,0.75,0.55,0.594594595,0.730769231,Good,Good,Good,Excellent,Active / Outdoor Dog,Great for active owners,80,"Family Dog, City / Apartment Dog, Active / Outdoor Dog",Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,3,"Corn, wheat, chicken (in sensitive individuals)",3,Medium,"Small-breed formula, Small kibble",archetype,archetype,"?? Very small breed: Extremely fragile - can be seriously injured by falls, rough play, or being stepped on. Not suitable for families with children under 10. Requires careful handling. Prone to dental issues. Can be difficult to housebreak. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",800,75,4.5,6,8,600,1200,2900
Papipoo,Dog,,United States,23-33 cm,3-7 kg,12-16 years,"Intelligent, Playful, Affectionate, Friendly, Alert",A cross between Papillon and Poodle.,3.4,5,3,4,5,2,3,5,1,4,4,2,0,https://en.wikipedia.org/wiki/Dog_crossbreed,3.1,3.6,66,82.2,0.5,0.75,0.75,1,0.25,1,1,0.6,0.486486486,0.615384615,Moderate,Good,Good,Excellent,Active / Outdoor Dog,Great for active owners,100,Active / Outdoor Dog,Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,3,"Corn, wheat, chicken (in sensitive individuals)",3,Medium,"Small-breed formula, Small kibble",archetype,archetype,Needs large open space; not ideal for small flats.,1200,120,6,6,8.5,1400,1200,4200
Patterdale Terrier,Dog,,United Kingdom,25-38 cm,5-6 kg,11-13 years,"Confident, Bold, Energetic, Loyal, Intelligent",A small English terrier bred for fox and vermin control.,2.4,4,4,4,4,4,4,5,2,4,4,2,0,https://en.wikipedia.org/wiki/Patterdale_Terrier,3.2,3.8,72,79.2,0.75,0.75,0.75,0.75,0.25,0.75,1,0.35,0.513513514,0.692307692,Good,Good,Good,Good,Active / Outdoor Dog,Great for active owners,80,"Family Dog, City / Apartment Dog, Active / Outdoor Dog",Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,2,Minimal (Terriers generally hardy),3,Medium,"Balanced, Active formula",archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",1300,75,3,4.5,6.5,200,800,2500
Peekapoo,Dog,,United States,23-28 cm,4-9 kg,10-15 years,"Affectionate, Gentle, Loving, Intelligent, Playful",A cross between Pekingese and Poodle.,3.8,5,4,4,3,2,3,4,2,4.33,3,4,0,https://en.wikipedia.org/wiki/Dog_crossbreed,3.3,3,77,67.4,0.75,0.5,0.75,0.5,0.75,1,0.75,0.7,0.540540541,0.384615385,Good,Moderate,Good,Good,Family Dog,Best for general companionship,67.4,Family Dog,General pet owner,Balanced temperament and moderate social traits make this breed suitable for a wide range of owners.,3,3,3,60,Temperate,3,"Corn, wheat, chicken (in sensitive individuals)",3,Medium,"Small-breed formula, Small kibble",archetype,archetype,Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.,1500,45,7.5,6,7.5,1500,1200,4600
